"location_name","year","age_name","population"
"Global",1990,"1 to 4",500535402.766047
"Global",1990,"5 to 9",585162350.377804
"Global",1990,"10 to 14",536689497.638787
"Global",1990,"15 to 19",519603412.113989
"Global",1990,"20 to 24",492675757.341611
"Global",1990,"25 to 29",442843296.340288
"Global",1990,"30 to 34",385628936.271717
"Global",1990,"35 to 39",352742337.180915
"Global",1990,"40 to 44",286291792.796232
"Global",1990,"45 to 49",232409454.755083
"Global",1990,"50 to 54",212591110.025764
"Global",1990,"55 to 59",185415509.90915
"Global",1990,"60 to 64",160643040.80075
"Global",1990,"65 to 69",123488560.958792
"Global",1990,"70 to 74",84513451.9545581
"Global",1990,"75 to 79",61309222.9612071
"Global",1990,"0 to 0",131580709.205149
"Global",1990,"80 to 84",35219664.5433822
"Global",1990,"85 to 89",15068723.9027637
"Global",1990,"90 to 94",4406009.21879112
"Global",1990,"95 to 99",1029446.05760758
"China",1990,"1 to 4",91920730.9315587
"China",1990,"5 to 9",104742053.268149
"China",1990,"10 to 14",102774977.6519
"China",1990,"15 to 19",126882207.746571
"China",1990,"20 to 24",132399760.385642
"China",1990,"25 to 29",110196445.161996
"China",1990,"30 to 34",88511800.4798803
"China",1990,"35 to 39",91508665.4848873
"China",1990,"40 to 44",67242514.6238901
"China",1990,"45 to 49",51719840.515286
"China",1990,"50 to 54",47801977.3495857
"China",1990,"55 to 59",43462552.3682425
"China",1990,"60 to 64",35420586.5594202
"China",1990,"65 to 69",27367474.4466885
"China",1990,"70 to 74",18856418.1624385
"China",1990,"75 to 79",11410484.4851457
"China",1990,"0 to 0",23472147.6573106
"China",1990,"80 to 84",5638880.40576427
"China",1990,"85 to 89",1917563.38869569
"China",1990,"90 to 94",372664.111575944
"China",1990,"95 to 99",62236.1805808973
"Indonesia",1990,"1 to 4",18091381.6435432
"Indonesia",1990,"5 to 9",23237879.2191853
"Indonesia",1990,"10 to 14",22208227.1522124
"Indonesia",1990,"15 to 19",19736427.9451981
"Indonesia",1990,"20 to 24",17532413.5996065
"Indonesia",1990,"25 to 29",15791170.1270541
"Indonesia",1990,"30 to 34",13761290.6345619
"Indonesia",1990,"35 to 39",11239079.3239527
"Indonesia",1990,"40 to 44",8903279.20251691
"Indonesia",1990,"45 to 49",7581766.42983744
"Indonesia",1990,"50 to 54",6571943.51015671
"Indonesia",1990,"55 to 59",5268240.59377009
"Indonesia",1990,"60 to 64",4142290.06445005
"Indonesia",1990,"65 to 69",2924351.99555339
"Indonesia",1990,"70 to 74",1831242.21193135
"Indonesia",1990,"75 to 79",1028493.37220502
"Indonesia",1990,"0 to 0",4575972.61045657
"Indonesia",1990,"80 to 84",571492.351517788
"Indonesia",1990,"85 to 89",281168.662728129
"Indonesia",1990,"90 to 94",84069.6022408456
"Indonesia",1990,"95 to 99",15393.7120740134
"Czechia",1990,"1 to 4",519473.264745664
