"location_name","year","real_gdp_lc","population","real_gdp_usd"
"Argentina",1990,461383067200.954,33120727.8523932,265817211208.207
"Argentina",1991,503521692862.146,33524923.4557365,290094591011.844
"Argentina",1992,543487677674.491,33911290.0181209,313120244489.89
"Argentina",1993,588091597641.289,34280198.0695408,338817957426.035
"Argentina",1994,622413803601.144,34643213.5127968,358592053441.545
"Argentina",1995,604704826243.565,34995396.9435437,348389357874.283
"Argentina",1996,638124986359.867,35339123.8125179,367643757074.802
"Argentina",1997,689883602459.331,35686801.5071445,397463514160.866
"Argentina",1998,716445355021.616,36047487.9293451,412766570325.764
"Argentina",1999,692190405307.751,36424215.9441574,398792535409.293
"Argentina",2000,686729030353.619,36807397.8248495,395646066535.875
"Argentina",2001,656452248351.554,37192185.541358,378202665751.853
"Argentina",2002,584935157747.954,37584759.0160787,336999433710.193
"Argentina",2003,636626116266.938,37994727.1654319,366780211148.674
"Argentina",2004,694110738086.543,38429811.3257452,399898899166.738
"Argentina",2005,755551060091.098,38869258.2558873,435296589745.339
"Argentina",2006,816351398559.736,39295026.1347484,470325565798.353
"Argentina",2007,889885482455.565,39727057.5162213,512690850741.56
"Argentina",2008,925990210832.673,40186482.3742039,533491913656.279
"Argentina",2009,871185248000,40659006.8863579,501917060966.235
"Argentina",2010,959396223037.209,41130792.4355861,552738161802.463
"Argentina",2011,1016997908810.97,41599546.2617579,585924294024.785
"Argentina",2012,1006559234253.78,42059551.844058,579910247223.428
"Argentina",2013,1030770242883.07,42520049.9655961,593858966307.156
"Argentina",2014,1004870951838,42990273.4563558,578937574935.696
"Argentina",2015,1032315583600.75,43462380.3212553,594749285413.212
"Argentina",2016,1010840035079.44,43923723.2841286,582376550428.09
"Argentina",2017,1039330591568.54,44353786.093418,598790850843.677
"Argentina",2018,1012127189427.81,44742563.3150841,583118120294.002
"Argentina",2019,991622158178.862,45115284.355549,571304530654.919
"Australia",1990,529298229226.878,16860242.3173095,630972702488.834
"Australia",1991,527207039795.938,17089728.8657152,628479810251.912
"Australia",1992,529388519108.709,17305618.9443109,631080336422.977
"Australia",1993,550741760462.865,17509386.1067654,656535385505.246
"Australia",1994,572663891212.335,17702284.3868196,682668603641.098
"Australia",1995,594618854646.106,17889406.3012717,708840961389.366
"Australia",1996,617537962482.368,18076736.0645553,736162668909.91
"Australia",1997,641673142433.36,18268207.8709486,764934047459.534
"Australia",1998,671280015502.87,18465476.2601598,800228192955.163
"Australia",1999,704418927725.966,18671725.3171464,839732857524.87
"Australia",2000,731978809208.788,18885449.0601203,872586798723.367
"Australia",2001,746898738633.038,19106452.06904,890372741826.771
"Australia",2002,776883187572.023,19335571.0360774,926116992865.178
"Australia",2003,801046780422.893,19574223.1151371,954922242233.238
"Australia",2004,834734377312.501,19821926.6802415,995080989941.195
"Australia",2005,861114807751.544,20082022.6156026,1026528915832.15
"Australia",2006,884596491005.368,20359915.183118,1054521265557.74
"Australia",2007,917932399334.278,20655644.1224392,1094260767801.94
"Australia",2008,950766977829.803,20962543.8355735,1133402638271.95
"Australia",2009,968516200684.018,21275725.2705822,1154561362206.77
"Australia",2010,989555637343.978,21595714.9624042,1179642326916.53
"Australia",2011,1013995151022.54,21925400.984191,1208776499565.85
"Australia",2012,1053717016448.23,22265337.3603731,1256128656424.85
"Australia",2013,1081115891498.42,22607619.9198955,1288790662985.54
"Australia",2014,1108824151458.37,22944404.817977,1321821485124.76
"Australia",2015,1132910082382.91,23279414.1823867,1350534154255.76
"Australia",2016,1163970433130.57,23615057.6255522,1387560980285.63
"Australia",2017,1190694343959.24,23943549.6166181,1419418366737.24
"Australia",2018,1224878850897.8,24260443.1616001,1460169477425.41
"Australia",2019,1250762371287.89,24568113.4912073,1491025040336.15
"Bangladesh",1990,156587099092.043,109054175.165814,52834007311.7358
"Bangladesh",1991,162044516224.857,111452084.324545,54675392830.5312
"Bangladesh",1992,170864089695.163,113670960.554839,57651202535.9186
"Bangladesh",1993,178914456746.146,115785040.073722,60367474528.3118
"Bangladesh",1994,185874455334.185,117749324.944462,62715845616.4941
"Bangladesh",1995,195393602731.684,119594187.40055,65927698356.0697
"Bangladesh",1996,204231097539.642,121352595.271638,68909554894.7531
"Bangladesh",1997,213400862434.587,123051248.719363,72003522586.3165
"Bangladesh",1998,224448682431.005,124702695.304615,75731164300.4426
"Bangladesh",1999,234930786867.074,126319541.770794,79267928092.7913
"Bangladesh",2000,247366365800.347,127913331.950286,83463813143.96
"Bangladesh",2001,259925868052.997,129509278.906637,87701511126.0793
"Bangladesh",2002,269889148727.735,131141078.228361,91063218744.844
"Bangladesh",2003,282680726834.717,132802758.208013,95379221373.1044
"Bangladesh",2004,297491876548.729,134487777.957091,100376647066.682
"Bangladesh",2005,316935781802.484,136185092.019293,106937209452.104
"Bangladesh",2006,338081436016.661,137880246.560919,114071958456.596
"Bangladesh",2007,361945250084.025,139567067.034857,122123840982.243
"Bangladesh",2008,383711876467.608,141250788.37315,129468112024.815
"Bangladesh",2009,403070619485.479,142932649.333272,135999939845.133
"Bangladesh",2010,425528860652.846,144604458.938318,143577568429.643
"Bangladesh",2011,453036659482.283,146281066.973698,152858966788.201
"Bangladesh",2012,482581258491.401,147977949.146445,162827601299.735
"Bangladesh",2013,511601792357.536,149679631.225585,172619411144.635
"Bangladesh",2014,542610280674.236,151361342.103782,183081976119.336
"Bangladesh",2015,578165578311.579,153019081.810348,195078678697.23
"Bangladesh",2016,619293260761.415,154650163.25093,208955558005.097
"Bangladesh",2017,664403662063.264,156229770.82204,224176245316.101
"Bangladesh",2018,716650728824.611,157755553.112879,241804912832.722
"Bangladesh",2019,775076999200.04,159259849.528908,261518503633.701
"Brazil",1990,1567624706702.9,148835518.066145,917211012544.471
"Brazil",1991,1583805565664.73,151374427.087948,926678369092.735
"Brazil",1992,1575188522239.29,153918005.15844,921636571083.558
"Brazil",1993,1652761673948.21,156452127.697092,967024315178.796
"Brazil",1994,1749495672156.71,158979508.88557,1023622994738.33
"Brazil",1995,1823390758978.2,161512280.860884,1066858717622.64
"Brazil",1996,1863666981953.67,164050989.074668,1090424176305.99
"Brazil",1997,1926935605670.19,166600873.110339,1127442397678.23
