"Data Source","World Development Indicators",

"Last Updated Date","2021-12-16",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Aruba","ABW","GDP, PPP (constant 2017 international $)","NY.GDP.MKTP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2301801382.40968","2485090891.60987","2631272708.76339","2823558022.0961","3055199978.5086","3133020318.66048","3170171303.01453","3393569279.62489","3461168699.56895","3504019425.42137","3770906155.29224","3658862852.58389","3539084620.13974","3609000909.43814","3894529306.87018","3941822498.1459","3983235582.05039","4054942823.50401","4051264664.08933","3625081808.90544","3491496478.93603","3611815359.20855","3562338436.47966","3711893680.18288","3723029361.22343","3935242067.42296","4017882134.53394","4098239741.2414","","","",
"Africa Eastern and Southern","AFE","GDP, PPP (constant 2017 international $)","NY.GDP.MKTP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","960103968976.822","961547040527.492","942028346166.877","938014301360.228","955771131512.328","997929832783.927","1053196469745.63","1090963710701.85","1111490197562.26","1141291472060.45","1179049129996.26","1222146721337.92","1267681585074.06","1305878754290.61","1379026352447.02","1464728449175.76","1562000295992.54","1667379530029.88","1741918546580.84","1756999052859.02","1849645910921.92","1925646633671.66","1974017119633.18","2056632946513.1","2142240830185.22","2210677162132.4","2267677811417.98","2331192066315.39","2393410341606.97","2445439746687.86","2377112322856.67",
"Afghanistan","AFG","GDP, PPP (constant 2017 international $)","NY.GDP.MKTP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","26890054382.385","29265058689.4061","29678901146.3632","33011757107.8906","34780330056.488","39589169629.9389","41143038133.026","49943751386.6576","57116893447.1231","57360414055.1093","64675178730.6937","68297470348.5577","70158264544.684","71176481723.2911","72785293847.6716","74711922906.3738","75600418108.8303","78557606648.6734","76710638229.7132",
"Africa Western and Central","AFW","GDP, PPP (constant 2017 international $)","NY.GDP.MKTP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","575568725557.068","582761889693.949","597165235764.879","590949580980.211","590497784021.671","603182098251.93","631571477925.12","658959258585.5","682520907446.796","693915347501.724","718955652370.804","756504957468.317","827345228819.319","872617071199.798","941149645187.007","995611093808.915","1049046941598.96","1105772472074.27","1174779914660.56","1245555451865.93","1330075747843.16","1395316735147.77","1468410180057.42","1557044287188.57","1647824267595.73","1693253652435.01","1700220790488.55","1744086797034.34","1798625891661.43","1858840699381.04","1845090636711.18",
"Angola","AGO","GDP, PPP (constant 2017 international $)","NY.GDP.MKTP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","68524299956.2213","69203621977.5983","65163320249.051","49534929134.6161","50198381863.7314","57728139157.7801","65547051778.05","70315126122.1511","73613711665.7012","75219587217.0244","77517262957.102","80777637917.8797","91816456696.4398","94561631036.5231","104918835770.191","120686998750.232","134623551003.143","153484335057.563","170622608225.526","172087766086.568","179666395220.529","185904369961.674","201784670079.693","211782181648.306","221995647525.415","224090335322.844","218308693423.998","217987314775.762","213619656135.168","212285293091.615","200821914034.722",
"Albania","ALB","GDP, PPP (constant 2017 international $)","NY.GDP.MKTP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15864260122.3963","11421927530.2393","10601020929.8536","11614416164.3423","12578745643.8061","14254528065.959","15551690040.6494","13853447963.2459","15076627590.1875","17020126048.6677","18202380867.1224","19711961219.6826","20606199102.3238","21745441145.8191","22944630010.5795","24212647605.5171","25641837637.7507","27176055330.1409","29214270738.4274","30194201911.1353","31313482300.9838","32110537603.5302","32565621885.8793","32891935129.3068","33475585695.5865","34218317343.4799","35352647953.8237","36696836021.0158","38171813854.0117","38978544595.3639","37436788050.5837",
"Andorra","AND","GDP, PPP (constant 2017 international $)","NY.GDP.MKTP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","GDP, PPP (constant 2017 international $)","NY.GDP.MKTP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2124370658027.14","2179743796518.17","2284811878510.52","2344784776303","2412051491964.98","2477770896631.12","2592587335115.55","2698657712695.6","2838669176852.97","2893943447826.5","3079972304993.73","3134433224143.21","3152945882729.33","3304836251144.75","3588989168637.07","3781664607067.38","3999884276538.61","4179943587266.02","4420452228920.67","4449096593825.62","4654024086026.58","4821662232155.84","5074665746449.3","5227519559622.71","5367332642024.22","5568801963736.09","5759468995741.45","5832469433891.55","5983638314253.95","6111933145531.7","5817924910432.08",
"United Arab Emirates","ARE","GDP, PPP (constant 2017 international $)","NY.GDP.MKTP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","203786719175.157","205539451954.676","212414633291.89","215093587426.624","229926760738.221","245304001445.894","259527718628.317","280784073367.273","281603946993.514","289776695167.022","321225302770.542","325719517895.225","333645761686.123","363008393120.375","397735361035.815","417045974401.753","458072120506.099","472658924099.828","487745423101.489","462173311464.892","469581256610.73","502116234355.811","524630081825.248","551140048310.714","575445794342.386","604565278498.984","622606812822.467","637384703409.743","644968661262.193","666972016655.959","626056612941.548",
"Argentina","ARG","GDP, PPP (constant 2017 international $)","NY.GDP.MKTP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","461383067200.954","503521692862.146","543487677674.491","588091597641.289","622413803601.144","604704826243.565","638124986359.867","689883602459.331","716445355021.616","692190405307.751","686729030353.619","656452248351.554","584935157747.954","636626116266.938","694110738086.543","755551060091.098","816351398559.736","889885482455.565","925990210832.673","871185248000","959396223037.209","1016997908810.97","1006559234253.78","1030770242883.07","1004870951838","1032315583600.75","1010840035079.44","1039330591568.54","1012127189427.81","991622158178.862","893498478523.547",
"Armenia","ARM","GDP, PPP (constant 2017 international $)","NY.GDP.MKTP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18327906064.5098","16183541332.9899","9418820611.43951","8589964511.29035","9053822833.63031","9678536466.07655","10246221416.4922","10586506596.0205","11359321576.2289","11734179188.3105","12426495760.7871","13619439353.7327","15417205348.1442","17575614097.1234","19421053577.114","22120580024.1606","25040496587.2317","28471044620.0698","30435546698.9769","26144134614.2082","26719305575.777","27975112937.4842","29989321069.253","30978968664.5384","32094211536.6445","33121226305.4854","33187468758.0387","35676528915.4363","37531708418.9153","40384118258.2046","37395693507.0975",
"American Samoa","ASM","GDP, PPP (constant 2017 international $)","NY.GDP.MKTP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","GDP, PPP (constant 2017 international $)","NY.GDP.MKTP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","966678464.210666","987718980.81919","999161460.172933","1051915973.37331","1122149321.88767","1073228241.63905","1144109168.5706","1206710342.88236","1263801318.69785","1310658242.74168","1391964025.79995","1328657453.56947","1342308637.88184","1423874608.69703","1505989864.77679","1603485108.26482","1807258377.52402","1975611420.14299","1975328104.58546","1739025583.76277","1602675635.24333","1571285427.86007","1624282782.9669","1614522851.10782","1675805740.78459","1739910222.13625","1835543677.67486","1893259104.10693","2023584260.56643","2121975706.32825","1693498508.25424",
"Australia","AUS","GDP, PPP (constant 2017 international $)","NY.GDP.MKTP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","529298229226.878","527207039795.938","529388519108.709","550741760462.865","572663891212.335","594618854646.106","617537962482.368","641673142433.36","671280015502.87","704418927725.966","731978809208.788","746898738633.038","776883187572.023","801046780422.893","834734377312.501","861114807751.544","884596491005.368","917932399334.278","950766977829.803","968516200684.018","989555637343.978","1013995151022.54","1053717016448.23","1081115891498.42","1108824151458.37","1132910082382.91","1163970433130.57","1190694343959.24","1224878850897.8","1250762371287.89","1250714385056.98",
"Austria","AUT","GDP, PPP (constant 2017 international $)","NY.GDP.MKTP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","287877610666.848","297785286478.443","304019494756.947","305621097436.388","312962480111.461","321312267538.717","328861608034.195","335746652652.378","347771169942.14","360139064725.604","372296358893.85","377013979923.414","383240569094.825","386848667609.275","397429443747.181","406348020084.216","420383450698.257","436052887762.183","442421107373.803","425765818911.111","433587535848.305","446260420568.48","449296979861.322","449411571762.946","452383408466.616","456972845319.882","466064032926.316","476590426691.819","488512789542.233","495797545261.262","462407989786.746",
"Azerbaijan","AZE","GDP, PPP (constant 2017 international $)","NY.GDP.MKTP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","54652854606.8022","54270284524.6893","42005200197.3451","32301999241.7856","25938505157.7986","22877761618.7087","23175172397.3595","24519332399.2637","26971265924.9312","28967139491.9371","32182491831.7191","35368558564.968","38706967219.4232","42658290558.3697","46605804015.8275","59637503647.8549","80212442406.3649","100265553007.956","111053101954.314","121377001960.347","127505259506.341","127632764765.847","130396319714.322","137972086329.501","141767018262.97","143317915201","138875059829.769","139152809949.428","141240102098.67","144771104651.137","138545947151.138",
"Burundi","BDI","GDP, PPP (constant 2017 international $)","NY.GDP.MKTP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6444307085.5261","6766318570.79823","6834658278.13972","6408175601.48876","6162742476.19536","5674653271.84973","5220681010.2186","5137672182.32014","5381711610.7284","5327356323.6485","5281708122.04697","5390289853.06244","5629970137.7553","5561074619.02674","5829877934.33885","5882346835.80048","6200805749.0857","6414854617.51195","6726726438.06685","6983199494.26243","7341030040.14927","7637064600.79901","7976662580.3333","8369449021.12303","8724368198.60431","8384117569.63019","8333811187.34308","8375481076.5592","8510320717.21629","8667121391.54336","8692912761.70075",
"Belgium","BEL","GDP, PPP (constant 2017 international $)","NY.GDP.MKTP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","353910993696.706","360398445086.651","365914901703.961","362395263927.975","374089655902.479","383010786203.891","388072085801.765","402794212092.751","410696262264.66","425246177251.417","441051214253.456","445901096710.163","453512113792.175","458219490391.071","474583444734.03","485602024421.712","497996287418.469","516307018968.288","518614543398.304","508134675995.647","522689140465.188","531546180596.913","535475461831.324","537934591084.72","546426066893.871","557581131065.091","564643935471.557","573788797293.568","584227184117.895","596785496111.532","563009466877.029",
