"Code","Country","Year","GDP"
"ARG","Argentina",2019,832754.469212901
"ARG","Argentina",2020,750268.183956682
"ARG","Argentina",2021,795964.402520902
"ARG","Argentina",2022,810488.224465654
"ARG","Argentina",2023,848126.2
"ARG","Argentina",2024,884615.9
"ARG","Argentina",2025,915992.6
"ARG","Argentina",2026,943094.2
"ARG","Argentina",2027,967460.4
"ARG","Argentina",2028,990326.4
"ARG","Argentina",2029,1012411
"ARG","Argentina",2030,1034128
"ARG","Argentina",2031,1055697
"ARG","Argentina",2032,1077232
"ARG","Argentina",2033,1098769
"ARG","Argentina",2034,1120301
"ARG","Argentina",2035,1141795
"ARG","Argentina",2036,1163215
"ARG","Argentina",2037,1184521
"ARG","Argentina",2038,1205682
"ARG","Argentina",2039,1226668
"ARG","Argentina",2040,1247469
"ARG","Argentina",2041,1268104
"ARG","Argentina",2042,1288622
"ARG","Argentina",2043,1309112
"ARG","Argentina",2044,1329669
"ARG","Argentina",2045,1350377
"ARG","Argentina",2046,1371294
"ARG","Argentina",2047,1392444
"ARG","Argentina",2048,1413820
"ARG","Argentina",2049,1435395
"ARG","Argentina",2050,1457140
"ARG","Argentina",2051,1479040
"ARG","Argentina",2052,1501082
"ARG","Argentina",2053,1523271
"ARG","Argentina",2054,1545619
"ARG","Argentina",2055,1568151
"ARG","Argentina",2056,1590903
"ARG","Argentina",2057,1613908
"ARG","Argentina",2058,1637214
"ARG","Argentina",2059,1660871
"ARG","Argentina",2060,1684933
"ARG","Argentina",2005,634567.468592549
"ARG","Argentina",1993,493954.108132519
"ARG","Argentina",1994,522748.989668395
"ARG","Argentina",1995,507875.684712579
"ARG","Argentina",1996,535944.399983447
"ARG","Argentina",1997,579415.097951433
"ARG","Argentina",1998,601723.620846732
"ARG","Argentina",1999,581352.521561387
"ARG","Argentina",2000,576765.658558573
"ARG","Argentina",2001,551336.983728476
"ARG","Argentina",2002,491271.661094349
"ARG","Argentina",2003,535266.82497459
"ARG","Argentina",2004,582965.357618555
"ARG","Argentina",2018,850513.313592625
"ARG","Argentina",2006,685632.074162636
"ARG","Argentina",2007,747391.417750639
"ARG","Argentina",2008,777714.829731587
"ARG","Argentina",2009,731685.582513212
"ARG","Argentina",2010,805771.660990415
"ARG","Argentina",2011,854149.802268794
"ARG","Argentina",2012,845382.633896996
"ARG","Argentina",2013,865716.823490357
"ARG","Argentina",2014,843964.689888389
"ARG","Argentina",2015,867014.714555336
"ARG","Argentina",2016,848977.965979329
"ARG","Argentina",2017,872906.43520178
"AUS","Australia",2032,1694653
"AUS","Australia",2033,1736199
"AUS","Australia",2034,1778305
"AUS","Australia",2035,1820914
"AUS","Australia",2036,1864007
"AUS","Australia",2037,1907572
"AUS","Australia",2038,1951647
"AUS","Australia",2039,1996285
"AUS","Australia",2040,2041542
"AUS","Australia",2041,2087444
"AUS","Australia",2042,2133960
"AUS","Australia",2043,2180996
"AUS","Australia",2044,2228435
"AUS","Australia",2045,2276186
"AUS","Australia",1990,514523.527335494
"AUS","Australia",1991,507675.980286004
"AUS","Australia",1992,522807.944881414
"AUS","Australia",1993,544209.72003555
"AUS","Australia",1994,569998.05910556
"AUS","Australia",1995,587555.520864786
"AUS","Australia",1996,611347.307212939
"AUS","Australia",1997,636796.3506068
"AUS","Australia",1998,668579.328329374
"AUS","Australia",1999,696696.045066908
"AUS","Australia",2000,719751.964462384
"AUS","Australia",2001,739380.686248309
"AUS","Australia",2002,768514.044892545
"AUS","Australia",2003,790965.457679687
"AUS","Australia",2046,2324232
"AUS","Australia",2047,2372592
"AUS","Australia",2048,2421374
"AUS","Australia",2049,2470749
"AUS","Australia",2050,2520930
"AUS","Australia",2051,2572145
"AUS","Australia",2052,2624589
"AUS","Australia",2053,2678432
"AUS","Australia",2054,2733837
"AUS","Australia",2055,2790961
"AUS","Australia",2056,2849944
"AUS","Australia",2057,2910808
"AUS","Australia",2058,2973533
"AUS","Australia",2059,3038041
"AUS","Australia",2060,3104236
"AUS","Australia",2019,1228699.21405242
"AUS","Australia",2020,1197917.93677558
"AUS","Australia",2021,1259414.4405574
"AUS","Australia",2022,1302655.0037414
"AUS","Australia",2023,1343408
"AUS","Australia",2024,1382308
"AUS","Australia",2025,1420290
"AUS","Australia",2026,1458150
"AUS","Australia",2027,1496279
"AUS","Australia",2028,1534820
"AUS","Australia",2029,1573857
"AUS","Australia",2030,1613475
"AUS","Australia",2031,1653734
"AUS","Australia",2005,847531.961222169
"AUS","Australia",2006,870897.293371858
"AUS","Australia",2007,909471.787665292
"AUS","Australia",2008,932617.97838745
"AUS","Australia",2009,950201.58770337
"AUS","Australia",2010,973462.952187157
"AUS","Australia",2011,1000063.11063643
"AUS","Australia",2012,1039364.75603031
"AUS","Australia",2013,1061186.75977417
"AUS","Australia",2014,1088236.40717424
"AUS","Australia",2015,1113216.66223023
"AUS","Australia",2016,1143607.59383928
"AUS","Australia",2004,822366.805586701
"AUS","Australia",2018,1205264.77764575
"AUS","Australia",2017,1171521.97829287
"AUT","Austria",2004,373123.741999574
"AUT","Austria",2005,382166.765854428
"AUT","Austria",2006,395801.429646975
"AUT","Austria",2008,416574.930976566
"AUT","Austria",2009,400887.008223613
"AUT","Austria",2010,407799.842050487
"AUT","Austria",2007,410438.515702751
"AUT","Austria",2012,423628.263678536
"AUT","Austria",2013,423484.490022337
"AUT","Austria",2014,426925.190865676
"AUT","Austria",2011,420507.919298194
"AUT","Austria",2003,364072.974338944
"AUT","Austria",1990,270487.8790997
"AUT","Austria",1991,279797.064098619
"AUT","Austria",1992,285654.684833366
"AUT","Austria",1993,287159.540735487
"AUT","Austria",1994,294057.453953406
"AUT","Austria",1995,301902.8587888
"AUT","Austria",1996,308860.481631598
"AUT","Austria",1997,315697.611181986
"AUT","Austria",1998,326615.556128098
"AUT","Austria",1999,337653.865553556
"AUT","Austria",2000,350080.022454102
"AUT","Austria",2001,354377.139895789
"AUT","Austria",2002,360509.714562407
"AUT","Austria",2042,589144.8
"AUT","Austria",2043,595180.7
"AUT","Austria",2044,601235.3
"AUT","Austria",2045,607318.8
"AUT","Austria",2046,613439.4
"AUT","Austria",2047,619599.1
"AUT","Austria",2048,625807.3
"AUT","Austria",2049,632072.6
"AUT","Austria",2050,638403.8
"AUT","Austria",2051,644812.6
"AUT","Austria",2052,651323.4
"AUT","Austria",2053,657956
"AUT","Austria",2054,664730.1
"AUT","Austria",2015,430929.257960663
"AUT","Austria",2016,439484.800103536
"AUT","Austria",2017,450462.727622812
"AUT","Austria",2018,461800.297711889
"AUT","Austria",2019,468473.467885395
"AUT","Austria",2020,437084.320458993
"AUT","Austria",2021,452011.256509762
"AUT","Austria",2022,471168.042715934
"AUT","Austria",2023,480550.1
"AUT","Austria",2024,486799.4
"AUT","Austria",2025,491996.9
"AUT","Austria",2026,496936.5
"AUT","Austria",2027,501964.6
"AUT","Austria",2028,507157.2
"AUT","Austria",2029,512480.6
"AUT","Austria",2030,517924.7
"AUT","Austria",2031,523491.4
"AUT","Austria",2032,529171.3
"AUT","Austria",2033,534955.2
"AUT","Austria",2034,540829.7
"AUT","Austria",2035,546780.5
"AUT","Austria",2036,552796.1
"AUT","Austria",2037,558854.9
"AUT","Austria",2038,564934.1
"AUT","Austria",2039,571011.4
"AUT","Austria",2040,577072.5
"AUT","Austria",2041,583113.6
"AUT","Austria",2055,671663.6
"AUT","Austria",2056,678770.8
"AUT","Austria",2057,686049.4
"AUT","Austria",2058,693511.4
"AUT","Austria",2059,701156.6
"AUT","Austria",2060,708969.2
"BEL","Belgium",2018,545599.467471832
"BEL","Belgium",2019,555336.75718957
"BEL","Belgium",2020,520441.260777493
"BEL","Belgium",2021,545037.103774196
"BEL","Belgium",2022,564146.85660565
"BEL","Belgium",2023,573495.7
"BEL","Belgium",2024,580728.8
"BEL","Belgium",2012,500215.447565335
"BEL","Belgium",2013,502512.897950598
"BEL","Belgium",2014,510446.476620493
"BEL","Belgium",2015,520866.251599576
"BEL","Belgium",2016,527463.60912592
"BEL","Belgium",2017,536017.174406854
"BEL","Belgium",2031,631966.4
"BEL","Belgium",2032,639531.8
"BEL","Belgium",2033,647092.5
"BEL","Belgium",2034,654627.9
"BEL","Belgium",2035,662116.3
"BEL","Belgium",2036,669541.8
"BEL","Belgium",2037,676896.9
"BEL","Belgium",2038,684186.9
"BEL","Belgium",2039,691425.7
"BEL","Belgium",2040,698631.6
"BEL","Belgium",2041,705825.1
"BEL","Belgium",2042,713020
"BEL","Belgium",2043,720235.7
"BEL","Belgium",2044,727490.4
"BEL","Belgium",2045,734801.3
"BEL","Belgium",2046,742191.6
"BEL","Belgium",2047,749683.4
"BEL","Belgium",2048,757308.4
"BEL","Belgium",2049,765092.6
"BEL","Belgium",2050,773055
"BEL","Belgium",2051,781211
"BEL","Belgium",2052,789560.6
"BEL","Belgium",2053,798126.6
"BEL","Belgium",2054,806931.8
"BEL","Belgium",2055,815994.5
"BEL","Belgium",2056,825326.6
"BEL","Belgium",2057,834937.6
"BEL","Belgium",2058,844831.7
