"Country","Variant","Year","value","Year_low","Year_high","Year_mid"
"Burundi","Medium variant","2020-2025",62.714,2020,2025,2022.5
"Comoros","Medium variant","2020-2025",65.026,2020,2025,2022.5
"Djibouti","Medium variant","2020-2025",67.872,2020,2025,2022.5
"Eritrea","Medium variant","2020-2025",67.48,2020,2025,2022.5
"Ethiopia","Medium variant","2020-2025",67.813,2020,2025,2022.5
"Kenya","Medium variant","2020-2025",67.47,2020,2025,2022.5
"Madagascar","Medium variant","2020-2025",68.214,2020,2025,2022.5
"Malawi","Medium variant","2020-2025",65.621,2020,2025,2022.5
"Mauritius","Medium variant","2020-2025",75.512,2020,2025,2022.5
"Mayotte","Medium variant","2020-2025",79.852,2020,2025,2022.5
"Mozambique","Medium variant","2020-2025",62.128,2020,2025,2022.5
"Réunion","Medium variant","2020-2025",81.546,2020,2025,2022.5
"Rwanda","Medium variant","2020-2025",69.998,2020,2025,2022.5
"Seychelles","Medium variant","2020-2025",73.744,2020,2025,2022.5
"Somalia","Medium variant","2020-2025",58.339,2020,2025,2022.5
"South Sudan","Medium variant","2020-2025",58.737,2020,2025,2022.5
"Uganda","Medium variant","2020-2025",64.376,2020,2025,2022.5
"United Republic of Tanzania","Medium variant","2020-2025",66.391,2020,2025,2022.5
"Zambia","Medium variant","2020-2025",64.697,2020,2025,2022.5
"Zimbabwe","Medium variant","2020-2025",62.155,2020,2025,2022.5
"Angola","Medium variant","2020-2025",62.224,2020,2025,2022.5
"Cameroon","Medium variant","2020-2025",60.319,2020,2025,2022.5
"Central African Republic","Medium variant","2020-2025",54.362,2020,2025,2022.5
"Chad","Medium variant","2020-2025",55.174,2020,2025,2022.5
"Congo","Medium variant","2020-2025",65.208,2020,2025,2022.5
"Democratic Republic of the Congo","Medium variant","2020-2025",61.601,2020,2025,2022.5
"Equatorial Guinea","Medium variant","2020-2025",59.821,2020,2025,2022.5
"Gabon","Medium variant","2020-2025",67.028,2020,2025,2022.5
"Sao Tome and Principe","Medium variant","2020-2025",71.01,2020,2025,2022.5
"Botswana","Medium variant","2020-2025",69.855,2020,2025,2022.5
"Eswatini","Medium variant","2020-2025",61.049,2020,2025,2022.5
"Lesotho","Medium variant","2020-2025",55.648,2020,2025,2022.5
"Namibia","Medium variant","2020-2025",64.863,2020,2025,2022.5
