"Country","Variant","Year","value","Year_low","Year_high","Year_mid"
"Burundi","Medium variant","2020-2025",2329.38,2020,2025,2022.5
"Comoros","Medium variant","2020-2025",137.061,2020,2025,2022.5
"Djibouti","Medium variant","2020-2025",99.469,2020,2025,2022.5
"Eritrea","Medium variant","2020-2025",521.189,2020,2025,2022.5
"Ethiopia","Medium variant","2020-2025",18513.46,2020,2025,2022.5
"Kenya","Medium variant","2020-2025",7779.775,2020,2025,2022.5
"Madagascar","Medium variant","2020-2025",4650.814,2020,2025,2022.5
"Malawi","Medium variant","2020-2025",3369.433,2020,2025,2022.5
"Mauritius","Medium variant","2020-2025",62.95,2020,2025,2022.5
"Mayotte","Medium variant","2020-2025",38.146,2020,2025,2022.5
"Mozambique","Medium variant","2020-2025",6033.881,2020,2025,2022.5
"Réunion","Medium variant","2020-2025",63.875,2020,2025,2022.5
"Rwanda","Medium variant","2020-2025",2007.585,2020,2025,2022.5
"Seychelles","Medium variant","2020-2025",7.479,2020,2025,2022.5
"Somalia","Medium variant","2020-2025",3503.012,2020,2025,2022.5
"South Sudan","Medium variant","2020-2025",1975.317,2020,2025,2022.5
"Uganda","Medium variant","2020-2025",8611.077,2020,2025,2022.5
"United Republic of Tanzania","Medium variant","2020-2025",11305.515,2020,2025,2022.5
"Zambia","Medium variant","2020-2025",3454.299,2020,2025,2022.5
"Zimbabwe","Medium variant","2020-2025",2144.053,2020,2025,2022.5
"Angola","Medium variant","2020-2025",6940.19,2020,2025,2022.5
"Cameroon","Medium variant","2020-2025",4717.374,2020,2025,2022.5
"Central African Republic","Medium variant","2020-2025",876.763,2020,2025,2022.5
"Chad","Medium variant","2020-2025",3530.96,2020,2025,2022.5
"Congo","Medium variant","2020-2025",917.255,2020,2025,2022.5
"Democratic Republic of the Congo","Medium variant","2020-2025",18810.591,2020,2025,2022.5
"Equatorial Guinea","Medium variant","2020-2025",238.356,2020,2025,2022.5
"Gabon","Medium variant","2020-2025",333.249,2020,2025,2022.5
"Sao Tome and Principe","Medium variant","2020-2025",34.732,2020,2025,2022.5
"Botswana","Medium variant","2020-2025",273.934,2020,2025,2022.5
"Eswatini","Medium variant","2020-2025",144.11,2020,2025,2022.5
"Lesotho","Medium variant","2020-2025",271.813,2020,2025,2022.5
"Namibia","Medium variant","2020-2025",351.049,2020,2025,2022.5
"South Africa","Medium variant","2020-2025",5798.396,2020,2025,2022.5
"Benin","Medium variant","2020-2025",2241.275,2020,2025,2022.5
"Burkina Faso","Medium variant","2020-2025",4029.135,2020,2025,2022.5
"Cabo Verde","Medium variant","2020-2025",50.19,2020,2025,2022.5
"Côte d'Ivoire","Medium variant","2020-2025",4831.462,2020,2025,2022.5
