LE,HLE,param1,param2,dHLE,WTP,WTP_1y
60.0,55.0,2.0831439059513843,0.6625609080729647,-5.2078164476,-1.2422527211232288e6,238536.19527925484
61.0,55.0,1.8893851202342338,0.8138309310080318,-4.7917507515,-1.1693207591709848e6,244027.8762005605
62.0,55.0,1.7137743180993246,0.9709285991469829,-4.4249853397,-1.1029195725629784e6,249248.18680591445
63.0,55.0,1.5545912778144555,1.133778956131862,-4.0988872231,-1.0419855165740169e6,254211.80429208302
64.0,55.0,1.4102821272364523,1.302337499157956,-3.8068681967,-985716.6098517199,258931.11054020535
65.0,55.0,1.2794427318664847,1.476584324457087,-3.5437817651,-933492.5598129381,263417.05604058167
66.0,55.0,1.1608038245377157,1.656519958038712,-3.3055293828,-884823.0030702197,267679.6665836068
67.0,55.0,1.053217681371558,1.8421623065620814,-3.0887936789,-839312.7900138616,271728.3435754643
68.0,55.0,0.9556461724864396,2.033544381189574,-2.8908520863,-796638.0118158138,275572.04174891923
69.0,55.0,0.8671500365561109,2.2307125719889185,-2.7094432319,-756529.0388229224,279219.3724215457
70.0,55.0,0.7868792462633851,2.433725325246508,-2.542669005,-718758.2707747628,282678.66142284725
71.0,55.0,0.7140643472784373,2.642652122782243,-2.3889213833,-683131.1324019638,285957.979688014
72.0,55.0,0.6480086669930275,2.857572692497281,-2.2468268313,-649479.351904168,289065.1575174502
73.0,55.0,0.5880813011223821,3.0785763995228197,-2.1152034166,-617655.8744368561,292007.7896950841
74.0,55.0,0.5337107966875316,3.3057617809624693,-1.9930272948,-587530.965204315,294793.2357661332
75.0,55.0,0.484379459003856,3.5392361968631225,-1.8794062026,-558989.1899502297,297428.6182395883
76.0,55.0,0.4396182183438637,3.779115576802763,-1.7735582669,-531927.0506024683,299920.8204939457
77.0,55.0,0.3990019989380965,4.025524246520211,-1.6747948989,-506251.1153596919,302276.48513390863
78.0,55.0,0.36214553926782667,4.278594822575796,-1.5825068626,-481876.5257583336,304502.0133224752
79.0,55.0,0.3286996180367401,4.538468165854226,-1.4961528349,-458725.7936691166,306603.5654704868
80.0,55.0,0.2983476450936408,4.805293386759299,-1.4152499426,-436727.8232469262,308587.06303467485
81.0,55.0,0.27080258087132836,5.079227896631908,-1.3393658794,-415817.10877289844,310458.1915728459
82.0,55.0,0.24580415172305334,5.360437501079684,-1.2681122977,-395933.07110563986,312222.4047694762
83.0,55.0,0.22311633192690863,5.649096532049881,-1.2011392355,-377019.50413442135,313884.92939994496
84.0,55.0,0.2025250661431627,5.945388016175007,-1.1381303912,-359024.10921501904,315450.7708352099
85.0,55.0,0.18383620879514592,6.249503877623736,-1.078799095,-342117.00307677616,317127.63262632897
86.0,55.0,0.1668736592378937,6.561645174196586,-1.0228848596,-325838.0024540713,318548.07449343865
87.0,55.0,0.15147767370567888,6.88202236595882,-0.9701504116,-310335.7094277628,319884.11870685924
88.0,55.0,0.1375033363199581,7.210855631197748,-0.9203791244,-295570.57711165084,321140.02727336396
89.0,55.0,0.12481917670999906,7.548375139758862,-0.8733728026,-281505.40797989536,322319.8697530581
90.0,55.0,0.1133059143139774,7.894821525713153,-0.8289497287,-268105.163848356,323427.530724706
91.0,55.0,0.1028553237992341,8.250446188762957,-0.7869429836,-255336.8065960792,324466.7173065055
92.0,55.0,0.09336920575823,8.61551177466663,-0.7471989559,-243169.14994530292,325440.9659237359
93.0,55.0,0.08475845418448752,8.990292635399578,-0.7095760363,-231572.72870192368,326353.6490175629
94.0,55.0,0.07694221128939345,9.375075335597801,-0.6739434651,-220519.68261964305,327207.9841102432
95.0,55.0,0.06984710138477955,9.770159197581286,-0.6401803123,-209983.6471391745,328007.0366187275
96.0,55.0,0.06340653635191938,10.175856887055247,-0.6081745722,-199939.6589955659,328753.7298251515
97.0,55.0,0.057560085938038526,10.59249504176638,-0.5778223579,-190364.06686968292,329450.84984514915
98.0,55.0,0.05225290677190388,11.020414945598061,-0.5490271832,-181234.45076439175,330101.05202454346
99.0,55.0,0.04743522457343745,11.459973250996269,-0.5216993196,-172529.54776319017,330706.86750266975
100.0,55.0,0.04306186456136177,11.911542752839601,-0.495755221,-164229.18357409321,331270.7090463364
101.0,55.0,0.03909182553806007,12.375513217229829,-0.4711170066,-156314.20926871378,331794.87702389766
102.0,55.0,0.035487893560602946,12.852292269025954,-0.4477119952,-148766.4425747716,332281.56531369075
103.0,55.0,0.032216291494700934,13.342306342336608,-0.4254722853,-141568.61331415962,332732.8669935335
104.0,55.0,0.029246361098727025,13.846001698700887,-0.4043343762,-134704.3124963576,333150.77921974025
105.0,55.0,0.02655027460107962,14.363845517934648,-0.3842388244,-128157.94478726876,333537.20823862887
106.0,55.0,0.024102773021812518,14.896327067293495,-0.3651299317,-121914.68398992732,333893.9741869629
107.0,55.0,0.0218809287451755,15.443958955173295,-0.3469554626,-115960.43132655643,334222.81481772073
108.0,55.0,0.019863930087512163,16.007278476012686,-0.3296663869,-110281.58843417106,334524.81907906354
109.0,55.0,0.018032885813671923,16.586849053898252,-0.3132166444,-104865.73014023676,334802.54646466277
110.0,55.0,0.016370647748219454,17.18326179299226,-0.2975629308,-99700.56439893274,335057.07223304687
60.0,56.0,2.0831439059513843,0.48486096728626366,-6.0931546817,-1.4037494837897164e6,230381.39635707854
61.0,56.0,1.8893851202342338,0.6204982638003652,-5.5933129152,-1.3195477448350696e6,235915.23750605082
62.0,56.0,1.7137743180993246,0.7614240918225372,-5.1570257501,-1.2436964530720203e6,241165.45337162682
63.0,56.0,1.5545912778144555,0.9075084177866343,-4.7721667393,-1.1746734970730492e6,246150.97527907309
64.0,56.0,1.4102821272364523,1.0586567621677174,-4.4297412412,-1.1113640605523027e6,250886.9028772521
65.0,56.0,1.2794427318664847,1.2148021754254235,-4.122882527,-1.052926403160432e6,255385.98208050083
66.0,56.0,1.1608038245377157,1.3758996873144078,-3.84622501,-998708.685061411,259659.45374095807
67.0,56.0,1.053217681371558,1.5419223274298623,-3.5954947332,-948195.0824235207,263717.55565877986
68.0,56.0,0.9556461724864396,1.7128581899806428,-3.3672317629,-900969.6121104301,267569.8245773489
69.0,56.0,0.8671500365561109,1.8887082185855797,-3.1585961618,-856691.1253373909,271225.27903319726
70.0,56.0,0.7868792462633851,2.069484503011404,-2.9672288343,-815075.5950961761,274692.52983599453
71.0,56.0,0.7140643472784373,2.255208949529009,-2.7911494971,-775883.3075445138,277979.8460636578
72.0,56.0,0.6480086669930275,2.4459122301147964,-2.6286804215,-738909.4329075742,281095.1939475136
73.0,56.0,0.5880813011223821,2.641632943948116,-2.4783884747,-703976.9749093164,284046.25912994944
74.0,56.0,0.5337107966875316,2.84241694332783,-2.3390404081,-670931.4251142209,286840.4593570993
75.0,56.0,0.484379459003856,3.0483167890159093,-2.2095679082,-639636.6587614148,289484.9515091336
76.0,56.0,0.4396182183438637,3.2593913088093562,-2.0890399504,-609971.7474260865,291986.63592301897
77.0,56.0,0.3990019989380965,3.475705239737411,-1.9766406946,-581828.4571872309,294352.1595891113
78.0,56.0,0.36214553926782667,3.6973289386111774,-1.8716516404,-555109.265084612,296587.91898153484
79.0,56.0,0.3286996180367401,3.924338149278207,-1.7734370915,-529725.7714746005,298700.06329153205
