LE,HLE,param1,param2,dHLE,WTP,WTP_1y
70.0,65.0,0.0742999538610056,0.07058380065122934,421.0742637104,2.5611973053346857e7,60825.311021530084
71.0,65.0,0.07624861731878946,0.06460699973277051,387.2004010068,3.1578799200413845e7,81556.73165188498
72.0,65.0,0.07830654333222753,0.05960135169772624,355.8769930038,3.704491907648601e7,104094.72881010447
73.0,65.0,0.08048552223061191,0.05522786367303548,326.8158565418,4.174567058450184e7,127734.53230278789
74.0,65.0,0.0827990876122038,0.05126271687072031,299.805701593,4.537094419167441e7,151334.49414270165
75.0,65.0,0.08526285741013512,0.047532755722216,274.6981218514,4.750546351683996e7,172936.97968032848
76.0,65.0,0.08789496102193256,0.04386829172007618,251.4045502065,4.7499580427530326e7,188936.83661856904
77.0,65.0,0.09071657006709284,0.04002830769945874,229.9287063622,4.409000169063723e7,191755.09830070342
78.0,65.0,0.09375259183397384,0.035381776323191415,210.587512818,3.3513841378001787e7,159144.48548982144
79.0,65.0,0.09703253712518256,NaN,NaN,NaN,NaN
80.0,65.0,0.1005916938307315,NaN,NaN,NaN,NaN
81.0,65.0,0.10447261531724421,NaN,NaN,NaN,NaN
82.0,65.0,0.1087271959127716,NaN,NaN,NaN,NaN
83.0,65.0,0.11341945425679179,NaN,NaN,NaN,NaN
84.0,65.0,0.11862945979398211,NaN,NaN,NaN,NaN
85.0,65.0,0.12445888695447657,NaN,NaN,NaN,NaN
86.0,65.0,0.13103918969947984,NaN,NaN,NaN,NaN
87.0,65.0,0.13854386673845348,NaN,NaN,NaN,NaN
88.0,65.0,0.1472075599687115,NaN,NaN,NaN,NaN
89.0,65.0,0.1573569692421161,NaN,NaN,NaN,NaN
90.0,65.0,0.16946330227078477,NaN,NaN,NaN,NaN
91.0,65.0,0.18423656007378927,NaN,NaN,NaN,NaN
92.0,65.0,0.20280785045800861,NaN,NaN,NaN,NaN
93.0,65.0,0.22711669080954483,NaN,NaN,NaN,NaN
94.0,65.0,0.2608468358242668,NaN,NaN,NaN,NaN
95.0,65.0,0.31215219477818706,NaN,NaN,NaN,NaN
96.0,65.0,0.4044407960196516,NaN,NaN,NaN,NaN
97.0,65.0,0.6587202118974661,NaN,NaN,NaN,NaN
70.0,66.0,0.0742999538610056,0.07996819350738461,434.3160351582,1.8749038829506796e7,43169.11491116703
71.0,66.0,0.07624861731878946,0.07227565178279277,398.2543481598,2.473986675828567e7,62120.76998681951
72.0,66.0,0.07830654333222753,0.06620129566590274,365.1593239157,3.0651531230395332e7,83940.15768709082
73.0,66.0,0.08048552223061191,0.06113953221606595,334.6007764205,3.614945497274943e7,108037.57050258495
74.0,66.0,0.0827990876122038,0.05674331716064327,306.2817016151,4.099633957379719e7,133851.74288118826
75.0,66.0,0.08526285741013512,0.05278783675109924,279.9877862349,4.492550497287083e7,160455.23119776338
76.0,66.0,0.08789496102193256,0.04910638432902366,255.5626259122,4.759826095604711e7,186248.9117340646
77.0,66.0,0.09071657006709284,0.04554949270089259,232.8986955929,4.852152622995271e7,208337.4752547644
78.0,66.0,0.09375259183397384,0.041937403119276455,211.9478023657,4.684000231550436e7,220997.82018350658
79.0,66.0,0.09703253712518256,0.03793065388956979,192.7941439966,4.058404352174984e7,210504.5447981322
80.0,66.0,0.1005916938307315,0.03173248794251784,176.5339812452,1.8972450616402946e7,107471.94666193373
81.0,66.0,0.10447261531724421,NaN,NaN,NaN,NaN
82.0,66.0,0.1087271959127716,NaN,NaN,NaN,NaN
83.0,66.0,0.11341945425679179,NaN,NaN,NaN,NaN
84.0,66.0,0.11862945979398211,NaN,NaN,NaN,NaN
85.0,66.0,0.12445888695447657,NaN,NaN,NaN,NaN
86.0,66.0,0.13103918969947984,NaN,NaN,NaN,NaN
87.0,66.0,0.13854386673845348,NaN,NaN,NaN,NaN
88.0,66.0,0.1472075599687115,NaN,NaN,NaN,NaN
89.0,66.0,0.1573569692421161,NaN,NaN,NaN,NaN
90.0,66.0,0.16946330227078477,NaN,NaN,NaN,NaN
91.0,66.0,0.18423656007378927,NaN,NaN,NaN,NaN
92.0,66.0,0.20280785045800861,NaN,NaN,NaN,NaN
93.0,66.0,0.22711669080954483,NaN,NaN,NaN,NaN
94.0,66.0,0.2608468358242668,NaN,NaN,NaN,NaN
95.0,66.0,0.31215219477818706,NaN,NaN,NaN,NaN
96.0,66.0,0.4044407960196516,NaN,NaN,NaN,NaN
97.0,66.0,0.6587202118974661,NaN,NaN,NaN,NaN
70.0,67.0,0.0742999538610056,0.09270147464320312,449.6441599718,1.2167631646058517e7,27060.579741148256
71.0,67.0,0.07624861731878946,0.08188597740510288,410.8300158067,1.7992494012459382e7,43795.47092519415
72.0,67.0,0.07830654333222753,0.07402210881431764,375.6196402695,2.3845443763405424e7,63482.95245237115
73.0,67.0,0.08048552223061191,0.06783986651028118,343.3503987053,2.967943725374621e7,86440.66634453008
74.0,67.0,0.0827990876122038,0.06271272210221387,313.5956119511,3.5177406354895435e7,112174.42149790273
75.0,67.0,0.08526285741013512,0.05828418873599675,286.059080911,4.0124903852573596e7,140267.8905518033
76.0,67.0,0.08789496102193256,0.05432673137149403,260.5247737569,4.428994711908477e7,170002.82345667615
77.0,67.0,0.09071657006709284,0.05067696427356971,236.8309883015,4.739169726222351e7,200107.670039746
78.0,67.0,0.09375259183397384,0.04719796105351446,214.8583828415,4.90459992415628e7,228271.2854529106
79.0,67.0,0.09703253712518256,0.04374490541532276,194.5307383442,4.864413727034792e7,250058.8733914003
80.0,67.0,0.1005916938307315,0.040099986221668285,175.8382601006,4.499659720756429e7,255897.64811037702
81.0,67.0,0.10447261531724421,0.03568485511074838,159.0088694937,3.4598070143121704e7,217585.78784495097
82.0,67.0,0.1087271959127716,NaN,NaN,NaN,NaN
83.0,67.0,0.11341945425679179,NaN,NaN,NaN,NaN
84.0,67.0,0.11862945979398211,NaN,NaN,NaN,NaN
85.0,67.0,0.12445888695447657,NaN,NaN,NaN,NaN
86.0,67.0,0.13103918969947984,NaN,NaN,NaN,NaN
87.0,67.0,0.13854386673845348,NaN,NaN,NaN,NaN
88.0,67.0,0.1472075599687115,NaN,NaN,NaN,NaN
89.0,67.0,0.1573569692421161,NaN,NaN,NaN,NaN
90.0,67.0,0.16946330227078477,NaN,NaN,NaN,NaN
91.0,67.0,0.18423656007378927,NaN,NaN,NaN,NaN
92.0,67.0,0.20280785045800861,NaN,NaN,NaN,NaN
93.0,67.0,0.22711669080954483,NaN,NaN,NaN,NaN
94.0,67.0,0.2608468358242668,NaN,NaN,NaN,NaN
95.0,67.0,0.31215219477818706,NaN,NaN,NaN,NaN
96.0,67.0,0.4044407960196516,NaN,NaN,NaN,NaN
97.0,67.0,0.6587202118974661,NaN,NaN,NaN,NaN
70.0,68.0,0.0742999538610056,0.11251797677511398,468.0359756731,6.457281612602071e6,13796.549727434121
71.0,68.0,0.07624861731878946,0.09499641720360374,425.439563075,1.1600157982358057e7,27266.28877322602
72.0,68.0,0.07830654333222753,0.08387852237923597,387.5483163856,1.7231432791898772e7,44462.669719751706
73.0,68.0,0.08048552223061191,0.07582937476448053,353.2268288053,2.293249521165499e7,64922.85789620887
74.0,68.0,0.0827990876122038,0.06952846279215524,321.8209594248,2.8668152642669484e7,89081.06138863333
75.0,68.0,0.08526285741013512,0.06432656709013676,292.9079504085,3.4137295727570444e7,116546.15615575247
76.0,68.0,0.08789496102193256,0.05985645372436974,266.1929210026,3.914478081939897e7,147054.17661732872
77.0,68.0,0.09071657006709284,0.05588644286895073,241.4589191972,4.348671340024614e7,180099.8428421294
78.0,68.0,0.09375259183397384,0.0522541953865653,218.5408358167,4.69268137712331e7,214727.8955709345
79.0,68.0,0.09703253712518256,0.04883044301417858,197.3113711852,4.9159227301188745e7,249145.43447699735
80.0,68.0,0.1005916938307315,0.045491328297791796,177.6780269836,4.973433329734139e7,279912.6833051335
81.0,68.0,0.10447261531724421,0.042080099086415586,159.587743077,4.7872039408433005e7,299973.15887433203
82.0,68.0,0.1087271959127716,0.038296854405817156,143.0802316701,4.180487826103108e7,292177.8765177048
83.0,68.0,0.11341945425679179,0.03276346187557297,128.7947331327,2.3146444096953645e7,179715.76580779403
84.0,68.0,0.11862945979398211,NaN,NaN,NaN,NaN
85.0,68.0,0.12445888695447657,NaN,NaN,NaN,NaN
86.0,68.0,0.13103918969947984,NaN,NaN,NaN,NaN
87.0,68.0,0.13854386673845348,NaN,NaN,NaN,NaN
88.0,68.0,0.1472075599687115,NaN,NaN,NaN,NaN
89.0,68.0,0.1573569692421161,NaN,NaN,NaN,NaN
90.0,68.0,0.16946330227078477,NaN,NaN,NaN,NaN
91.0,68.0,0.18423656007378927,NaN,NaN,NaN,NaN
92.0,68.0,0.20280785045800861,NaN,NaN,NaN,NaN
93.0,68.0,0.22711669080954483,NaN,NaN,NaN,NaN
94.0,68.0,0.2608468358242668,NaN,NaN,NaN,NaN
95.0,68.0,0.31215219477818706,NaN,NaN,NaN,NaN
96.0,68.0,0.4044407960196516,NaN,NaN,NaN,NaN
97.0,68.0,0.6587202118974661,NaN,NaN,NaN,NaN
70.0,69.0,0.0742999538610056,0.15383945262783824,491.6107615985,2.132665470929563e6,4338.117953307372
