LE,HLE,param1,param2,dLE,WTP,WTP_1y
60.0,55.0,2.0831439059513843,0.6625609080729647,-4.9151783711,-783707.4428663149,159446.38906175116
61.0,55.0,1.8893851202342338,0.8138309310080318,-5.423483663,-834663.783310267,153898.09118528306
62.0,55.0,1.7137743180993246,0.9709285991469829,-5.9835572507,-888879.3051983791,148553.6559534701
63.0,55.0,1.5545912778144555,1.133778956131862,-6.6006549208,-946474.1394616795,143390.94390151315
64.0,55.0,1.4102821272364523,1.302337499157956,-7.2805660277,-1.007588171269676e6,138394.2082849268
65.0,55.0,1.2794427318664847,1.476584324457087,-8.0296676625,-1.0723787919174405e6,133552.07674729096
66.0,55.0,1.1608038245377157,1.656519958038712,-8.8549843212,-1.1410196404897354e6,128856.20110675792
67.0,55.0,1.053217681371558,1.8421623065620814,-9.7642536308,-1.2136999571913541e6,124300.33088887653
68.0,55.0,0.9556461724864396,2.033544381189574,-10.7659987482,-1.2906243373115512e6,119879.66629917495
69.0,55.0,0.8671500365561109,2.2307125719889185,-11.869608108,-1.3720127629112354e6,115590.40116804802
70.0,55.0,0.7868792462633851,2.433725325246508,-13.0854232686,-1.458100838403348e6,111429.3980770367
71.0,55.0,0.7140643472784373,2.642652122782243,-14.4248356739,-1.5491401844408116e6,107393.95716263124
72.0,55.0,0.6480086669930275,2.857572692497281,-15.9003932408,-1.6453989616143235e6,103481.65210104818
73.0,55.0,0.5880813011223821,3.0785763995228197,-17.5259177662,-1.747162505973457e6,99690.21475970783
74.0,55.0,0.5337107966875316,3.3057617809624693,-19.3166342533,-1.8547340651007546e6,96017.45525537904
75.0,55.0,0.484379459003856,3.5392361968631225,-21.2893133702,-1.968435627969872e6,92461.20782482426
76.0,55.0,0.4396182183438637,3.779115576802763,-23.4624283642,-2.0886088447136935e6,89019.29554319211
77.0,55.0,0.3990019989380965,4.025524246520211,-25.8563279154,-2.2156160347063625e6,85689.50865550959
78.0,55.0,0.36214553926782667,4.278594822575796,-28.4934265315,-2.3498412827613563e6,82469.59277304063
79.0,55.0,0.3286996180367401,4.538468165854226,-31.3984142758,-2.49169162451171e6,79357.24405140278
80.0,55.0,0.2983476450936408,4.805293386759299,-34.5984877844,-2.6415983229680145e6,76350.10927151205
81.0,55.0,0.27080258087132836,5.079227896631908,-38.1236047396,-2.8000182389974254e6,73445.78924586772
82.0,55.0,0.24580415172305334,5.360437501079684,-42.0067641749,-2.967435299198541e6,70641.84441446817
83.0,55.0,0.22311633192690863,5.649096532049881,-46.284315241,-3.144362065171849e6,67935.80176781963
