LE,HLE,param1,param2,dLE,WTP,WTP_1y
70.0,65.0,0.0742999538610056,0.07058380065122934,526.9860551476,7.878615395974584e7,149503.29935709428
71.0,65.0,0.07624861731878946,0.06460699973277051,499.635208476,7.265993183540112e7,145425.96398886756
72.0,65.0,0.07830654333222753,0.05960135169772624,472.5111243758,6.686210617168014e7,141503.77149322524
73.0,65.0,0.08048552223061191,0.05522786367303548,445.6615029441,6.1370443334960595e7,137706.40481517737
74.0,65.0,0.0827990876122038,0.05126271687072031,419.1341003862,5.6173128578657284e7,134021.85249756117
75.0,65.0,0.08526285741013512,0.047532755722216,392.9765929999,5.126573978442872e7,130454.94489398703
76.0,65.0,0.08789496102193256,0.04386829172007618,367.2364572948,4.665104486741038e7,127032.71677071301
77.0,65.0,0.09071657006709284,0.04002830769945874,341.9606340651,4.23441629517568e7,123827.59514855625
78.0,65.0,0.09375259183397384,0.035381776323191415,317.1956145338,3.8406554173496544e7,121081.6052105411
79.0,65.0,0.09703253712518256,NaN,NaN,NaN,NaN
80.0,65.0,0.1005916938307315,NaN,NaN,NaN,NaN
81.0,65.0,0.10447261531724421,NaN,NaN,NaN,NaN
82.0,65.0,0.1087271959127716,NaN,NaN,NaN,NaN
83.0,65.0,0.11341945425679179,NaN,NaN,NaN,NaN
84.0,65.0,0.11862945979398211,NaN,NaN,NaN,NaN
85.0,65.0,0.12445888695447657,NaN,NaN,NaN,NaN
86.0,65.0,0.13103918969947984,NaN,NaN,NaN,NaN
87.0,65.0,0.13854386673845348,NaN,NaN,NaN,NaN
88.0,65.0,0.1472075599687115,NaN,NaN,NaN,NaN
89.0,65.0,0.1573569692421161,NaN,NaN,NaN,NaN
90.0,65.0,0.16946330227078477,NaN,NaN,NaN,NaN
91.0,65.0,0.18423656007378927,NaN,NaN,NaN,NaN
92.0,65.0,0.20280785045800861,NaN,NaN,NaN,NaN
93.0,65.0,0.22711669080954483,NaN,NaN,NaN,NaN
94.0,65.0,0.2608468358242668,NaN,NaN,NaN,NaN
95.0,65.0,0.31215219477818706,NaN,NaN,NaN,NaN
96.0,65.0,0.4044407960196516,NaN,NaN,NaN,NaN
97.0,65.0,0.6587202118974661,NaN,NaN,NaN,NaN
70.0,66.0,0.0742999538610056,0.07996819350738461,526.9860551476,7.995446019165376e7,151720.2578904291
71.0,66.0,0.07624861731878946,0.07227565178279277,499.635208476,7.320945391069603e7,146525.81056887758
72.0,66.0,0.07830654333222753,0.06620129566590274,472.5111243758,6.724143070765626e7,142306.5558434926
73.0,66.0,0.08048552223061191,0.06113953221606595,445.6615029441,6.161196724785367e7,138248.3495676353
74.0,66.0,0.0827990876122038,0.05674331716064327,419.1341003862,5.629772548510355e7,134319.12467448844
75.0,66.0,0.08526285741013512,0.05278783675109924,392.9765929999,5.128526222263726e7,130504.62326810979
76.0,66.0,0.08789496102193256,0.04910638432902366,367.2364572948,4.6567703913991004e7,126805.77592166635
77.0,66.0,0.09071657006709284,0.04554949270089259,341.9606340651,4.2143630622106664e7,123241.17580763306
78.0,66.0,0.09375259183397384,0.041937403119276455,317.1956145338,3.801876412678081e7,119859.0471771153
79.0,66.0,0.09703253712518256,0.03793065388956979,292.9820792603,3.421718688483387e7,116789.3509774487
80.0,66.0,0.1005916938307315,0.03173248794251784,269.3788347622,3.091536160280628e7,114765.36985579245
81.0,66.0,0.10447261531724421,NaN,NaN,NaN,NaN
82.0,66.0,0.1087271959127716,NaN,NaN,NaN,NaN
83.0,66.0,0.11341945425679179,NaN,NaN,NaN,NaN
84.0,66.0,0.11862945979398211,NaN,NaN,NaN,NaN
85.0,66.0,0.12445888695447657,NaN,NaN,NaN,NaN
86.0,66.0,0.13103918969947984,NaN,NaN,NaN,NaN
87.0,66.0,0.13854386673845348,NaN,NaN,NaN,NaN
88.0,66.0,0.1472075599687115,NaN,NaN,NaN,NaN
89.0,66.0,0.1573569692421161,NaN,NaN,NaN,NaN
90.0,66.0,0.16946330227078477,NaN,NaN,NaN,NaN
91.0,66.0,0.18423656007378927,NaN,NaN,NaN,NaN
