scenario,M1,D1,life_expectancy,healthy_life_expectancy,total_wtp
Elongation,0.2,0.4,84.11088233279699,74.56376737205024,-279.2260161905825
Elongation,0.2,0.5,84.11088233279699,73.21895901596434,-277.4553812618692
Elongation,0.2,0.6000000000000001,84.11088233279699,72.04712403478712,-275.99226975090846
Elongation,0.2,0.7000000000000001,84.11088233279699,71.00902510604222,-274.7551868724493
Elongation,0.2,0.8,84.11088233279699,70.07772775749186,-273.6907899375546
Elongation,0.275,0.4,80.81995097294008,72.34824255493672,-189.64136535964627
Elongation,0.275,0.5,80.81995097294008,71.10928275901125,-188.51508163596958
Elongation,0.275,0.6000000000000001,80.81995097294008,70.02386751872304,-187.57871295955556
Elongation,0.275,0.7000000000000001,80.81995097294008,69.05824882022833,-186.783264252385
Elongation,0.275,0.8,80.81995097294008,68.18898760430896,-186.09627979235708
Elongation,0.35,0.4,78.32882758283034,70.6156439132123,-141.26657415562804
Elongation,0.35,0.5,78.32882758283034,69.4559100265785,-140.47014033274115
Elongation,0.35,0.6000000000000001,78.32882758283034,68.4356134153677,-139.80472631387653
Elongation,0.35,0.7000000000000001,78.32882758283034,67.52489280003687,-139.23728554661585
Elongation,0.35,0.8,78.32882758283034,66.70281360524515,-138.7457124998366
Elongation,0.425,0.4,76.32408806481256,69.18706914023646,-111.32884701466173
Elongation,0.425,0.5,76.32408806481256,68.09029305376026,-110.72778086274322
Elongation,0.425,0.6000000000000001,76.32408806481256,67.1220268429559,-110.22350016727447
Elongation,0.425,0.7000000000000001,76.32408806481256,66.25535648289971,-109.79206944789102
Elongation,0.425,0.8,76.32408806481256,65.47126511703077,-109.41734430684372
Elongation,0.5,0.4,74.64668519195047,67.9686093085065,-91.13263286740109
Elongation,0.5,0.5,74.64668519195047,66.92383369879892,-90.65850132925023
Elongation,0.5,0.6000000000000001,74.64668519195047,65.99874141920569,-90.25927790693447
Elongation,0.5,0.7000000000000001,74.64668519195047,65.16875518307603,-89.91676086897695
Elongation,0.5,0.8,74.64668519195047,64.41639130944584,-89.61858375587124
