country,year,population,real_gdp,real_gdp_pc,vsl,le,hle,wtp_s,wtp_h,wtp,wtp_pc
Argentina,1990,33.1,265.8,8.026,1.412,71.19,62.4,0.139,-0.001,0.137,4.146
Argentina,1991,33.5,290.1,8.653,1.523,71.46,62.62,-0.006,-0.006,-0.012,-0.362
Argentina,1992,33.9,313.1,9.234,1.625,71.6,62.73,0.174,-0.004,0.17,5.005
Argentina,1993,34.3,338.8,9.884,1.739,71.89,62.97,0.259,-0.007,0.252,7.352
Argentina,1994,34.6,358.6,10.351,1.822,72.26,63.25,0.049,-0.002,0.047,1.353
Argentina,1995,35.0,348.4,9.955,1.752,72.36,63.34,0.01,-0.009,0.001,0.037
Argentina,1996,35.3,367.6,10.403,1.831,72.42,63.38,0.025,-0.009,0.017,0.473
Argentina,1997,35.7,397.5,11.138,1.96,72.59,63.53,-0.011,-0.012,-0.023,-0.64
Argentina,1998,36.0,412.8,11.451,2.015,72.66,63.6,0.017,-0.011,0.005,0.149
Argentina,1999,36.4,398.8,10.949,1.927,72.88,63.79,0.401,-0.001,0.4,10.978
Argentina,2000,36.8,395.6,10.749,1.892,73.37,64.18,0.077,-0.004,0.073,1.98
Argentina,2001,37.2,378.2,10.169,1.789,73.48,64.27,-0.036,-0.004,-0.04,-1.08
Argentina,2002,37.6,337.0,8.966,1.578,73.4,64.21,0.063,-0.003,0.061,1.613
Argentina,2003,38.0,366.8,9.653,1.699,73.56,64.34,0.374,0.006,0.38,9.995
Argentina,2004,38.4,399.9,10.406,1.831,74.12,64.8,0.297,0.005,0.302,7.85
Argentina,2005,38.9,435.3,11.199,1.971,74.56,65.16,0.119,0.011,0.13,3.341
Argentina,2006,39.3,470.3,11.969,2.106,74.7,65.27,-0.127,0.018,-0.109,-2.771
Argentina,2007,39.7,512.7,12.905,2.271,74.57,65.18,0.465,0.029,0.494,12.429
Argentina,2008,40.2,533.5,13.275,2.336,74.95,65.47,0.189,0.022,0.212,5.264
Argentina,2009,40.7,501.9,12.345,2.172,75.16,65.65,0.076,0.008,0.084,2.078
Argentina,2010,41.1,552.7,13.439,2.365,75.25,65.74,0.121,-0.007,0.113,2.753
Argentina,2011,41.6,585.9,14.085,2.479,75.39,65.85,0.14,-0.01,0.13,3.129
Argentina,2012,42.1,579.9,13.788,2.426,75.56,65.98,0.123,-0.014,0.108,2.579
Argentina,2013,42.5,593.9,13.967,2.458,75.67,66.07,0.254,-0.012,0.242,5.697
