country,year,population,real_gdp,real_gdp_pc,le,hle,vsl,wtp_s,wtp_h,wtp,wtp_pc
Argentina,1990,33.1,265.8,8.026,71.71,62.86,1.412,0.145,-0.001,0.144,4.357
Argentina,1991,33.5,290.1,8.653,71.97,63.06,1.523,-0.009,-0.006,-0.015,-0.436
Argentina,1992,33.9,313.1,9.234,72.08,63.15,1.625,0.184,-0.004,0.18,5.309
Argentina,1993,34.3,338.8,9.884,72.36,63.37,1.739,0.27,-0.007,0.264,7.69
Argentina,1994,34.6,358.6,10.351,72.71,63.65,1.822,0.052,-0.001,0.051,1.473
Argentina,1995,35.0,348.4,9.955,72.81,63.73,1.752,0.009,-0.009,-0.0,-0.0
Argentina,1996,35.3,367.6,10.403,72.86,63.77,1.831,0.027,-0.009,0.018,0.516
Argentina,1997,35.7,397.5,11.138,73.0,63.89,1.96,-0.008,-0.012,-0.021,-0.576
Argentina,1998,36.0,412.8,11.451,73.06,63.95,2.015,0.02,-0.011,0.008,0.233
Argentina,1999,36.4,398.8,10.949,73.26,64.12,1.927,0.422,-0.0,0.421,11.572
Argentina,2000,36.8,395.6,10.749,73.73,64.49,1.892,0.082,-0.005,0.077,2.1
Argentina,2001,37.2,378.2,10.169,73.83,64.58,1.789,-0.035,-0.005,-0.04,-1.069
Argentina,2002,37.6,337.0,8.966,73.76,64.52,1.578,0.072,-0.003,0.069,1.836
Argentina,2003,38.0,366.8,9.653,73.91,64.65,1.699,0.396,0.006,0.402,10.588
Argentina,2004,38.4,399.9,10.406,74.45,65.09,1.831,0.31,0.005,0.315,8.197
Argentina,2005,38.9,435.3,11.199,74.86,65.42,1.971,0.123,0.012,0.135,3.465
Argentina,2006,39.3,470.3,11.969,74.99,65.52,2.106,-0.134,0.019,-0.114,-2.909
Argentina,2007,39.7,512.7,12.905,74.87,65.43,2.271,0.482,0.03,0.513,12.904
Argentina,2008,40.2,533.5,13.275,75.24,65.72,2.336,0.196,0.023,0.22,5.472
Argentina,2009,40.7,501.9,12.345,75.43,65.89,2.172,0.084,0.009,0.093,2.285
Argentina,2010,41.1,552.7,13.439,75.53,65.97,2.365,0.126,-0.008,0.118,2.867
Argentina,2011,41.6,585.9,14.085,75.65,66.07,2.479,0.145,-0.011,0.134,3.23
Argentina,2012,42.1,579.9,13.788,75.81,66.2,2.426,0.129,-0.015,0.114,2.706
Argentina,2013,42.5,593.9,13.967,75.92,66.28,2.458,0.269,-0.012,0.257,6.046
Argentina,2014,43.0,578.9,13.467,76.13,66.45,2.37,-0.065,-0.012,-0.077,-1.791
Argentina,2015,43.5,594.7,13.684,76.2,66.51,2.408,-0.451,-0.012,-0.462,-10.639
Argentina,2016,43.9,582.4,13.259,75.96,66.33,2.333,0.009,-0.019,-0.01,-0.232
Argentina,2017,44.4,598.8,13.5,75.99,66.36,2.376,0.302,-0.046,0.256,5.773
Argentina,2018,44.7,583.1,13.033,76.2,66.49,2.293,0.112,-0.07,0.042,0.937
Argentina,2019,45.1,571.3,12.663,76.3,66.55,2.228,0.0,0.0,0.0,0.0
Australia,1990,16.9,631.0,37.424,76.78,65.87,6.586,0.602,0.094,0.696,41.271
Australia,1991,17.1,628.5,36.775,77.24,66.24,6.472,0.269,0.068,0.338,19.75
Australia,1992,17.3,631.1,36.467,77.43,66.41,6.417,0.438,0.049,0.487,28.154
Australia,1993,17.5,656.5,37.496,77.77,66.68,6.598,0.133,0.011,0.144,8.236
Australia,1994,17.7,682.7,38.564,77.86,66.76,6.786,0.494,-0.004,0.49,27.696
Australia,1995,17.9,708.8,39.624,78.15,66.97,6.973,0.326,-0.06,0.266,14.894
Australia,1996,18.1,736.2,40.724,78.32,67.07,7.167,0.569,-0.083,0.486,26.903
Australia,1997,18.3,764.9,41.872,78.63,67.27,7.369,0.612,-0.097,0.515,28.186
Australia,1998,18.5,800.2,43.336,78.95,67.47,7.626,0.655,-0.089,0.565,30.614
Australia,1999,18.7,839.7,44.974,79.25,67.66,7.914,0.604,-0.07,0.535,28.634
Australia,2000,18.9,872.6,46.204,79.57,67.88,8.131,0.645,-0.036,0.609,32.262
Australia,2001,19.1,890.4,46.601,79.91,68.13,8.201,0.409,-0.035,0.374,19.596
Australia,2002,19.3,926.1,47.897,80.13,68.28,8.429,0.692,-0.013,0.678,35.085
Australia,2003,19.6,954.9,48.785,80.45,68.51,8.585,0.717,-0.026,0.692,35.345
Australia,2004,19.8,995.1,50.201,80.77,68.73,8.834,0.762,-0.007,0.755,38.099
Australia,2005,20.1,1026.5,51.117,81.08,68.95,8.995,0.536,-0.001,0.536,26.685
Australia,2006,20.4,1054.5,51.794,81.32,69.12,9.115,0.117,-0.014,0.103,5.053
Australia,2007,20.7,1094.3,52.976,81.4,69.18,9.323,0.247,0.009,0.256,12.384
Australia,2008,21.0,1133.4,54.068,81.51,69.27,9.515,0.576,0.016,0.592,28.258
Australia,2009,21.3,1154.6,54.267,81.72,69.42,9.55,0.604,0.018,0.622,29.238
Australia,2010,21.6,1179.6,54.624,81.97,69.59,9.613,0.364,0.078,0.442,20.472
Australia,2011,21.9,1208.8,55.131,82.13,69.74,9.702,0.677,0.191,0.868,39.592
Australia,2012,22.3,1256.1,56.416,82.42,69.98,9.928,0.424,0.216,0.64,28.736
Australia,2013,22.6,1288.8,57.007,82.57,70.13,10.032,-0.003,0.167,0.164,7.267
Australia,2014,22.9,1321.8,57.61,82.59,70.18,10.138,0.04,0.065,0.105,4.586
Australia,2015,23.3,1350.5,58.014,82.6,70.2,10.209,0.62,-0.252,0.368,15.793
Australia,2016,23.6,1387.6,58.757,82.82,70.3,10.34,0.129,-0.293,-0.164,-6.946
Australia,2017,23.9,1419.4,59.282,82.87,70.28,10.432,-0.364,-0.026,-0.39,-16.29
Australia,2018,24.3,1460.2,60.187,82.78,70.21,10.592,-0.051,0.07,0.019,0.774
Australia,2019,24.6,1491.0,60.689,82.78,70.21,10.68,0.0,0.0,0.0,0.0
Bangladesh,1990,109.1,52.8,0.484,55.96,48.77,0.085,-0.501,-0.075,-0.576,-5.284
Bangladesh,1991,111.5,54.7,0.491,54.67,47.63,0.086,0.913,0.094,1.007,9.038
Bangladesh,1992,113.7,57.7,0.507,58.06,50.51,0.089,0.149,0.035,0.184,1.617
Bangladesh,1993,115.8,60.4,0.521,58.88,51.23,0.092,0.144,0.032,0.177,1.526
Bangladesh,1994,117.7,62.7,0.533,59.67,51.92,0.094,0.067,0.026,0.093,0.792
Bangladesh,1995,119.6,65.9,0.551,60.16,52.37,0.097,0.174,0.023,0.197,1.649
Bangladesh,1996,121.4,68.9,0.568,61.05,53.12,0.1,0.155,0.028,0.183,1.508
Bangladesh,1997,123.1,72.0,0.585,61.86,53.81,0.103,0.141,0.027,0.168,1.367
Bangladesh,1998,124.7,75.7,0.607,62.6,54.45,0.107,0.127,0.029,0.156,1.252
Bangladesh,1999,126.3,79.3,0.628,63.25,55.03,0.11,0.059,0.025,0.084,0.665
Bangladesh,2000,127.9,83.5,0.653,63.67,55.41,0.115,0.107,0.021,0.128,1.003
Bangladesh,2001,129.5,87.7,0.677,64.23,55.89,0.119,0.067,0.02,0.087,0.673
Bangladesh,2002,131.1,91.1,0.694,64.62,56.25,0.122,0.057,0.015,0.073,0.555
Bangladesh,2003,132.8,95.4,0.718,65.01,56.59,0.126,0.096,0.019,0.115,0.866
Bangladesh,2004,134.5,100.4,0.746,65.52,57.03,0.131,0.054,0.021,0.075,0.557
Bangladesh,2005,136.2,106.9,0.785,65.91,57.37,0.138,0.065,0.036,0.101,0.739
Bangladesh,2006,137.9,114.1,0.827,66.32,57.76,0.146,0.101,0.047,0.148,1.076
Bangladesh,2007,139.6,122.1,0.875,66.81,58.19,0.154,0.23,0.057,0.287,2.054
Bangladesh,2008,141.3,129.5,0.917,67.6,58.87,0.161,0.174,0.045,0.219,1.548
Bangladesh,2009,142.9,136.0,0.951,68.26,59.44,0.167,0.129,0.025,0.153,1.074
Bangladesh,2010,144.6,143.6,0.993,68.76,59.88,0.175,0.406,0.002,0.407,2.817
Bangladesh,2011,146.3,152.9,1.045,69.89,60.73,0.184,0.396,-0.01,0.386,2.641
Bangladesh,2012,148.0,162.8,1.1,71.05,61.61,0.194,0.177,-0.011,0.166,1.12
Bangladesh,2013,149.7,172.6,1.153,71.67,62.1,0.203,0.047,-0.012,0.036,0.239
Bangladesh,2014,151.4,183.1,1.21,71.97,62.37,0.213,0.192,-0.003,0.189,1.252
Bangladesh,2015,153.0,195.1,1.275,72.57,62.85,0.224,0.096,0.024,0.12,0.786
Bangladesh,2016,154.7,209.0,1.351,72.95,63.18,0.238,-0.086,0.024,-0.061,-0.397
Bangladesh,2017,156.2,224.2,1.435,73.01,63.29,0.253,0.111,-0.022,0.089,0.572
Bangladesh,2018,157.8,241.8,1.533,73.4,63.59,0.27,0.111,-0.077,0.034,0.213
Bangladesh,2019,159.3,261.5,1.642,73.76,63.82,0.289,0.0,0.0,0.0,0.0
Brazil,1990,148.8,917.2,6.163,65.43,56.37,1.084,1.185,0.266,1.451,9.752
Brazil,1991,151.4,926.7,6.122,66.15,56.99,1.077,0.549,0.236,0.785,5.184
Brazil,1992,153.9,921.6,5.988,66.64,57.44,1.054,-0.296,0.199,-0.097,-0.627
Brazil,1993,156.5,967.0,6.181,66.81,57.64,1.088,0.567,0.174,0.741,4.736
Brazil,1994,159.0,1023.6,6.439,67.26,58.04,1.133,0.571,0.154,0.724,4.557
Brazil,1995,161.5,1066.9,6.605,67.67,58.39,1.162,0.569,0.012,0.581,3.597
Brazil,1996,164.1,1090.4,6.647,68.08,58.73,1.17,1.268,-0.124,1.144,6.971
Brazil,1997,166.6,1127.4,6.767,68.68,59.19,1.191,0.518,-0.208,0.309,1.857
Brazil,1998,169.2,1131.3,6.688,69.04,59.45,1.177,0.805,-0.201,0.605,3.574
Brazil,1999,171.7,1136.5,6.619,69.46,59.75,1.165,0.841,-0.107,0.734,4.275
Brazil,2000,174.2,1186.4,6.809,69.88,60.06,1.198,0.68,-0.098,0.583,3.345
Brazil,2001,176.8,1202.9,6.806,70.23,60.33,1.198,0.574,-0.196,0.377,2.134
Brazil,2002,179.2,1239.6,6.917,70.53,60.54,1.217,0.562,-0.224,0.338,1.885
Brazil,2003,181.7,1253.8,6.901,70.82,60.74,1.214,0.627,-0.144,0.482,2.655
Brazil,2004,184.1,1326.0,7.203,71.14,60.98,1.267,1.509,0.005,1.514,8.226
Brazil,2005,186.5,1368.5,7.337,71.67,61.38,1.291,0.625,0.268,0.893,4.789
Brazil,2006,188.9,1422.7,7.531,71.97,61.66,1.325,0.671,0.516,1.187,6.283
Brazil,2007,191.3,1509.0,7.888,72.26,61.96,1.388,0.457,0.624,1.081,5.65
Brazil,2008,193.7,1585.9,8.188,72.49,62.24,1.441,0.36,0.56,0.92,4.748
Brazil,2009,196.0,1583.9,8.08,72.7,62.48,1.422,0.431,0.286,0.717,3.657
Brazil,2010,198.3,1703.2,8.587,72.93,62.71,1.511,0.446,0.082,0.529,2.665
Brazil,2011,200.6,1770.8,8.828,73.14,62.89,1.554,1.22,0.059,1.28,6.379
Brazil,2012,202.8,1804.9,8.899,73.51,63.19,1.566,0.673,0.02,0.693,3.414
Brazil,2013,205.0,1859.1,9.069,73.77,63.4,1.596,0.951,-0.001,0.95,4.634
Brazil,2014,207.1,1868.5,9.022,74.1,63.67,1.588,0.52,-0.016,0.504,2.436
Brazil,2015,209.2,1802.2,8.616,74.33,63.86,1.516,-0.202,-0.141,-0.342,-1.637
Brazil,2016,211.2,1743.2,8.254,74.39,63.89,1.453,1.602,-0.105,1.497,7.09
Brazil,2017,213.1,1766.2,8.288,74.81,64.19,1.459,0.777,0.365,1.142,5.358
Brazil,2018,214.9,1797.7,8.365,75.08,64.45,1.472,0.427,0.831,1.258,5.853
Brazil,2019,216.7,1823.1,8.414,75.26,64.69,1.481,0.0,0.0,0.0,0.0
Canada,1990,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Canada,1991,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Canada,1992,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Canada,1993,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Canada,1994,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Canada,1995,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Canada,1996,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Canada,1997,29.6,933.7,31.569,78.49,68.22,5.555,0.439,-0.015,0.424,14.331
Canada,1998,29.8,959.9,32.186,78.69,68.38,5.664,0.591,-0.016,0.575,19.293
Canada,1999,30.1,998.0,33.198,78.94,68.55,5.842,0.704,-0.01,0.694,23.093
Canada,2000,30.3,1047.0,34.553,79.23,68.76,6.08,0.652,0.009,0.662,21.832
Canada,2001,30.6,1061.8,34.747,79.46,68.93,6.115,0.484,0.03,0.513,16.794
Canada,2002,30.8,1098.1,35.62,79.64,69.06,6.268,0.524,0.017,0.542,17.567
Canada,2003,31.1,1139.9,36.635,79.83,69.19,6.447,0.741,0.032,0.773,24.851
Canada,2004,31.4,1184.6,37.699,80.08,69.38,6.634,0.628,-0.01,0.617,19.649
Canada,2005,31.7,1243.7,39.181,80.27,69.5,6.895,0.897,-0.079,0.817,25.742
Canada,2006,32.1,1295.6,40.376,80.57,69.69,7.105,0.477,-0.188,0.288,8.983
Canada,2007,32.4,1384.5,42.668,80.73,69.77,7.509,0.677,-0.224,0.453,13.97
Canada,2008,32.8,1398.5,42.605,80.95,69.87,7.498,0.895,-0.187,0.708,21.58
Canada,2009,33.2,1357.5,40.885,81.23,70.04,7.195,0.81,-0.103,0.708,21.318
Canada,2010,33.6,1399.5,41.674,81.47,70.19,7.334,0.778,-0.016,0.762,22.695
Canada,2011,34.0,1443.5,42.513,81.73,70.36,7.481,0.391,0.02,0.411,12.103
