age,population,S,S_new,Sgrad,H,H_new,Hgrad,discount,dH,W,dW,Wgrad,C,Cdot,L,SL,Y,Sav,A,Z,zc,uc,ul,v,q,V,WTP_S,WTP_H,WTP_W,WTP,year,location_name
0,680652.6218449,1.0,1.0,0.0,0.9642794933373632,0.9643257072787744,4.621394141124391e-05,1.0,0.0,1.4591836734693882,0.0,0.0,1.0,0.0,4000.0,0.0,0.0,-1.0,0.0,1986.0785886958406,34.339897834249385,0.0003879755474305476,5.512733982810332e-06,94.77874412178366,0.004542354533244196,2562061.0492193564,2484.2028048808484,31.153246957508063,2.6416563973018805,2515.3560518383565,1991,Argentina
1,693983.2641092775,0.9753121457044104,0.9764766783404976,0.0011645326360871788,0.9615932272114274,0.9619185860660568,0.0003253588546294761,0.9803921568627451,-0.0027857754359565043,1.4591836734693882,0.0,0.0,474.875,0.0,4000.0,0.0,0.0,-474.875,0.0,2786.1396312301904,0.7235608114092728,4.920063639436182e-06,4.152189287886858e-06,8894.054336487772,3.009338304434345,2679353.0741867004,-600.4313779504384,32.57590796440611,2.762694525147995,-567.8554699860323,1991,Argentina
2,693983.2641092776,0.9744136886879614,0.9756244138659588,0.0012107251779973627,0.9615932272114274,0.9619185860660568,0.0003253588546294761,0.9611687812379853,0.0,1.4591836734693882,0.0,0.0,573.5901797841512,0.0,4000.0,0.0,0.0,-573.5901797841512,0.0,2853.6803086437803,0.6486541010183183,4.255055121699509e-06,4.069743906783683e-06,10390.086593367296,3.515526709066328,2726379.739775864,-745.0577825568658,30.1857081110124,2.8205467017335755,-714.8720744458534,1991,Argentina
3,693983.2641092772,0.9735160593296258,0.9747728932440388,0.0012568339144130025,0.9615932272114274,0.9619185860660568,0.0003253588546294761,0.9423223345470444,0.0,1.4591836734693882,0.0,0.0,692.8258896442536,0.0,4000.0,0.0,0.0,-692.8258896442536,0.0,2926.8486730902246,0.582028096160815,3.675729525201596e-06,3.984381414409406e-06,12155.770797163828,4.112952911672355,2772863.8068720386,-894.9575586361432,27.228668064148504,2.8796103312341357,-867.7288905719947,1991,Argentina
4,693983.2641092776,0.9726192568669654,0.9739221158255064,0.0013028589585409867,0.9615932272114274,0.9619185860660568,0.0003253588546294761,0.9238454260265141,0.0,1.4591836734693882,0.0,0.0,836.8478580682536,0.0,4000.0,0.0,0.0,-836.8478580682536,0.0,3006.187069217359,0.522740463665232,3.171481008877146e-06,3.896143478182725e-06,14243.31911889265,4.819283105897026,2818518.6146062375,-1050.2006978688023,23.599769550358367,2.9399107820671113,-1026.600928318444,1991,Argentina
5,682920.4716205201,0.9717232805382442,0.9730720809616974,0.0013488004234532003,0.9644872765709892,0.9647951969353012,0.00030792036431204206,0.9057308098299157,0.0030096399159907083,1.4591836734693882,0.0,0.0,1010.8085566967128,0.0,4000.0,0.0,0.0,-1010.8085566967128,0.0,3092.2992538314747,0.4699578306737891,2.732981028460737e-06,3.8050898057485865e-06,16715.775906720453,5.336646663971801,2862998.1937710135,-1210.8418932377194,19.173759029706673,3.0014739538770265,-1191.6681342080128,1991,Argentina
6,682920.4716205206,0.971416589459382,0.9727693770785986,0.0013527876192165333,0.9644872765709892,0.9647951969353012,0.00030792036431204206,0.8879713821861919,0.0,1.4591836734693882,0.0,0.0,1220.9315330624393,0.0,4000.0,0.0,0.0,-1220.9315330624393,0.0,3185.858425135969,0.42294307933688685,2.352026519726788e-06,3.7112992699295286e-06,19649.41162722847,6.273233596491238,2904124.653423869,-1248.6174060623155,14.118310572876847,3.0624699964258744,-1234.4990954894386,1991,Argentina
7,682920.4716205196,0.9711099951770252,0.9724667673608166,0.001356772183791377,0.9644872765709892,0.9647951969353012,0.00030792036431204206,0.8705601786139135,0.0,1.4591836734693882,0.0,0.0,1474.7340617076577,0.0,4000.0,0.0,0.0,-1474.7340617076577,0.0,3287.6164256110155,0.3810441294516626,2.0214060568015034e-06,3.6148709053210205e-06,23136.676554334805,7.38657113125358,2943093.633054863,-1287.3371991011998,8.004504862951974,3.1247056023571784,-1279.3326942382478,1991,Argentina
8,682920.4716205196,0.9708034976606236,0.9721642517790584,0.001360754118434837,0.9644872765709892,0.9647951969353012,0.00030792036431204206,0.8534903711901113,0.0,1.4591836734693882,0.0,0.0,1781.29607915495,0.0,4000.0,0.0,0.0,-1781.29607915495,0.0,3398.414305127215,0.3436840344009742,1.7347818630892824e-06,3.5159247413733996e-06,27289.851771714508,8.71250591240896,2979296.408215393,-1327.0079089853987,0.6304913992877987,3.1882059621146928,-1326.3774175861108,1991,Argentina
9,682920.4716205206,0.970497096879636,0.9718618303040404,0.0013647334244043519,0.9644872765709892,0.9647951969353012,0.00030792036431204206,0.836755265872658,0.0,1.4591836734693882,0.0,0.0,2151.5850240406244,0.0,4000.0,0.0,0.0,-2151.5850240406244,0.0,3519.1944625674837,0.3103522362707194,1.4865858020503424e-06,3.414602435529867e-06,32245.570383581824,10.294659163636256,3011997.3210774115,-1367.6329699290443,-8.246257451323563,3.252996778063118,-1375.8792273803679,1991,Argentina
