scenario,delta2_value,life_expectancy,healthy_life_expectancy,total_wtp,wtp_0,wtp_20,wtp_40,wtp_60,wtp_80
Peter Pan,0.5,49.09971092731661,39.28791163270522,0.0,0.0,0.0,0.0,0.0,0.0
Peter Pan,0.55,49.09971092731661,39.28791163270522,0.0,0.0,0.0,0.0,0.0,0.0
Peter Pan,0.6,49.09971092731661,39.28791163270522,0.0,0.0,0.0,0.0,0.0,0.0
Peter Pan,0.65,49.09971092731661,39.28791163270522,0.0,0.0,0.0,0.0,0.0,0.0
Peter Pan,0.7,49.09971092731661,39.28791163270522,0.0,0.0,0.0,0.0,0.0,0.0
Peter Pan,0.75,49.09971092731661,39.28791163270522,0.0,0.0,0.0,0.0,0.0,0.0
Peter Pan,0.8,49.09971092731661,39.28791163270522,0.0,0.0,0.0,0.0,0.0,0.0
Peter Pan,0.8500000000000001,49.09971092731661,39.28791163270522,0.0,0.0,0.0,0.0,0.0,0.0
Peter Pan,0.9,49.09971092731661,39.28791163270522,0.0,0.0,0.0,0.0,0.0,0.0
Peter Pan,0.95,49.09971092731661,39.28791163270522,0.0,0.0,0.0,0.0,0.0,0.0
Peter Pan,1.0,49.09971092731661,39.28791163270522,0.0,0.0,0.0,0.0,0.0,0.0
