scenario,gamma,psi,life_expectancy,healthy_life_expectancy,total_wtp
Rectangularization,0.05,0.03,51.73997445685924,45.403147172242555,2125.3911212616313
Rectangularization,0.05,0.042499999999999996,51.73997445685924,46.569394330811456,2118.890990916507
Rectangularization,0.05,0.055,51.73997445685924,48.07123277886186,2167.7197034153414
Rectangularization,0.05,0.0675,51.73997445685924,49.25518541720419,2174.583923353209
Rectangularization,0.05,0.08,51.73997445685924,50.057451542186456,2182.201709954307
Rectangularization,0.075,0.03,70.31730670611132,59.276992350528815,1877.6080171215258
Rectangularization,0.075,0.042499999999999996,70.31730670611132,60.735947568915456,1866.3821976068166
Rectangularization,0.075,0.055,70.31730670611132,62.93336386770478,1865.1915145923183
Rectangularization,0.075,0.0675,70.31730670611132,64.82822868081003,1870.0288988546595
Rectangularization,0.075,0.08,70.31730670611132,66.23056448926472,1877.2262931761607
Rectangularization,0.1,0.03,79.84841736541358,65.79240989532579,1320.9055565533995
Rectangularization,0.1,0.042499999999999996,79.84841736541358,67.27619172868553,1309.5981859990643
Rectangularization,0.1,0.055,79.84841736541358,69.75390218703359,1305.7962491221635
Rectangularization,0.1,0.0675,79.84841736541358,71.98499345713896,1307.0250861518052
Rectangularization,0.1,0.08,79.84841736541358,73.7038403686619,1310.7867558307178
Rectangularization,0.125,0.03,85.17135929878025,69.21567894615978,918.7299706651755
Rectangularization,0.125,0.042499999999999996,85.17135929878025,70.65720654183575,909.1133285779949
Rectangularization,0.125,0.055,85.17135929878025,73.2452179736072,904.8120212182491
Rectangularization,0.125,0.0675,85.17135929878025,75.63131845784216,904.2909697934073
Rectangularization,0.125,0.08,85.17135929878025,77.50768887027556,905.8866823554451
Rectangularization,0.15,0.03,88.45733168888074,71.2454418497855,656.5318874078218
Rectangularization,0.15,0.042499999999999996,88.45733168888074,72.63657031808134,648.7799939618008
Rectangularization,0.15,0.055,88.45733168888074,75.26992813013848,644.8156330154748
Rectangularization,0.15,0.0675,88.45733168888074,77.7325013600283,643.6473641233756
Rectangularization,0.15,0.08,88.45733168888074,79.69134511901257,644.1352894132913
